,,PEMERINTAH KOTA SURAKARTA,,,,,
,,DINAS PERHUBUNGAN KOTA SURAKARTA,,,,,
,,LAPORAN DATA STATISTIK KENDARAAN,,,,,
,,,,,,,
,,,,,,,
Tipe Sensor,,: Advance Sensor,,,,,
Periode,,: JUNI 2025,,,,,
,,,,,,,
I.Kendaraan Masuk,,,,,,,
NO,TANGGAL,,MOTOR,MOBIL,BIS / TRUK,JUMLAH KENDARAAN,KETERANGAN
21,21 Juni 2025,,377.400,135.397,45.892,558.689,
22,22 Juni 2025,,326.790,125.120,29.203,481.113,
23,23 Juni 2025,,401.873,119.183,44.364,565.420,
24,24 Juni 2025,,364.370,112.668,45.386,522.424,
25,25 Juni 2025,,398.572,125.787,48.626,572.985,
26,26 Juni 2025,,359.649,120.520,54.068,534.237,
27,27 Juni 2025,,325.203,119.683,44.793,489.679,
28,28 Juni 2025,,369.728,138.625,46.739,555.092,
29,29 Juni 2025,,296.554,122.266,42.332,461.152,
30,30 Juni 2025,,396.740,119.063,42.391,558.194,
,,,11.040.370,3.642.972,1.326.703,16.010.045,
